unique words	median word length	english percent	full text path	original path
1335	7	0.9445693	8/8e035127.txt	https://onbeing.org/programs/jimmy-wales-the-sum-of-all-human-knowledge-2
1410	6	0.94255316	b/b794cc55.txt	https://onbeing.org/programs/jim-wallis-the-new-evangelical-leaders-part-i
1218	7	0.95155996	2/2618f7a8.txt	https://onbeing.org/programs/joan-halifax-a-midwife-to-the-dying
1443	7	0.92931396	8/87a9c62e.txt	https://onbeing.org/programs/jim-daly-gabe-lyons-the-next-christians
1389	6	0.9661627	d/da6439c.txt	https://onbeing.org/programs/jennifer-michael-hecht-a-history-of-doubt
1306	7	0.9525268	c/cc224ffd.txt	https://onbeing.org/programs/joan-brown-campbell-and-thomas-hoyt-jr-living-reconciliation-two-ecumenical-pioneers
1299	6	0.9253272	5/5d30aaf1.txt	https://onbeing.org/programs/jo-anne-horstmann-larche-a-community-of-brokenness-and-beauty
1168	6	0.96147263	3/3d1c58df.txt	https://onbeing.org/programs/joe-henry-the-mystery-and-adventure-of-life-and-songwriting
1088	6	0.9586397	8/8e48e1e0.txt	https://onbeing.org/programs/joe-carter-the-legacy-of-the-african-american-spiritual
1232	6	0.9415584	5/510735b.txt	https://onbeing.org/programs/joanna-macy-a-wild-love-for-the-world
1423	7	0.9381588	8/863c1082.txt	https://onbeing.org/programs/joanna-brooks-mormons-demystified
1192	7	0.93036914	3/3a032fe5.txt	https://onbeing.org/programs/joan-halifax-compassions-edge-states-and-caring-better
1188	7	0.9520202	7/72a098f9.txt	https://onbeing.org/programs/joel-marcus-the-jewish-roots-of-the-christian-story
1236	6	0.9619741	7/756268f8.txt	https://onbeing.org/programs/john-a-powell-opening-the-question-of-race-to-the-question-of-belonging
1207	7	0.953604	e/e332a922.txt	https://onbeing.org/programs/john-danforth-conservative-politics-and-moderate-religion
1250	7	0.9664	1/13ae2985.txt	https://onbeing.org/programs/john-lipscomb-and-catherine-roskam-homosexuality-and-the-divided-church
1090	6	0.94678897	e/ec01b780.txt	https://onbeing.org/programs/john-lewis-love-in-action-jan2017
1325	7	0.95396227	4/49d57587.txt	https://onbeing.org/programs/john-odonohue-the-inner-landscape-of-beauty
1345	7	0.9486989	1/13614682.txt	https://onbeing.org/programs/john-paul-lederach-the-art-of-peace
853	6	0.95545137	f/fda73825.txt	https://onbeing.org/programs/jonathan-haidt-melvin-konner-capitalism-and-moral-evolution-a-civil-provocation
1394	7	0.956241	1/1f297e60.txt	https://onbeing.org/programs/john-polkinghorne-quarks-and-creation
1443	7	0.9265419	d/d370db35.txt	https://onbeing.org/programs/jonathan-greenblatt-the-business-of-doing-good
1346	7	0.93833584	b/b03484bd.txt	https://onbeing.org/programs/jon-kabat-zinn-opening-to-our-lives
1545	7	0.958576	4/4a8cef47.txt	https://onbeing.org/programs/jonathan-haidt-the-psychology-behind-morality
1322	7	0.9455371	3/364aac60.txt	https://onbeing.org/programs/jonathan-sacks-the-dignity-of-difference
1134	7	0.96031743	8/8df63f04.txt	https://onbeing.org/programs/joy-ladin-transgender-amid-orthodoxy-i-am-who-i-will-be-mar2017
1378	7	0.9470247	d/d9564363.txt	https://onbeing.org/programs/joseph-califano-religion-and-politics
1462	7	0.9637483	e/e5719b4d.txt	https://onbeing.org/programs/karen-armstrong-freelance-monotheism
1525	6	0.95213115	a/aad197b6.txt	https://onbeing.org/programs/joseph-l-price-in-praise-of-play
1190	6	0.9588235	9/9dad0a6b.txt	https://onbeing.org/programs/kate-braestrup-a-presence-in-the-wild
1209	7	0.9677419	4/4b46976b.txt	https://onbeing.org/programs/katy-payne-in-the-presence-of-elephants-and-whales
1378	7	0.9528302	6/681f4e47.txt	https://onbeing.org/programs/joshua-dubois-obamas-faith-based-office
1440	7	0.9326389	8/82cecbc8.txt	https://onbeing.org/programs/kecia-ali-omid-safi-precious-rasheeda-muhammad-and-michael-wolfe-progressive-islam-in-america
1312	7	0.9428354	6/69db8aab.txt	https://onbeing.org/programs/keith-devlin-the-joy-of-math-learning-and-what-it-means-to-be-human
1272	6	0.9646226	d/d5d7e8c2.txt	https://onbeing.org/programs/kevin-kling-the-losses-and-laughter-we-grow-into
1456	7	0.9567308	9/977a0cf0.txt	https://onbeing.org/programs/khaled-abou-el-fadl-richard-j-mouw-and-yossi-klein-halevi-the-power-of-fundamentalism
1591	7	0.95851666	f/f318b779.txt	https://onbeing.org/programs/krista-tippett-remembering-forward
1211	7	0.9562345	2/2dd656d0.txt	https://onbeing.org/programs/khaled-abou-el-fadl-and-harold-m-schulweis-religion-and-our-world-in-crisis
1451	6	0.9510682	f/fb9e60e5.txt	https://onbeing.org/programs/laurie-zoloth-a-theological-perspective-on-cloning
1273	7	0.96307933	5/5f7e7190.txt	https://onbeing.org/programs/kwame-anthony-appiah-sidling-up-to-difference-social-change-and-moral-revolutions
1332	7	0.951952	b/b45820e1.txt	https://onbeing.org/programs/krista-tippett-the-mystery-and-art-of-living
1297	7	0.95065534	5/5210e7fa.txt	https://onbeing.org/programs/lawrence-krauss-our-origins-and-the-weight-of-space
1219	6	0.9319114	e/e6a4c5d4.txt	https://onbeing.org/programs/lawrence-kushner-kabbalah-and-the-inner-life-of-god
1017	6	0.9626352	a/a616804.txt	https://onbeing.org/programs/layli-long-soldier-the-freedom-of-real-apologies-mar2017
1208	7	0.9594371	9/9cad11a4.txt	https://onbeing.org/programs/leila-ahmed-muslim-women-and-other-misunderstandings
1194	6	0.96566164	9/99341e2d.txt	https://onbeing.org/programs/leonard-mlodinow-randomness-and-choice-2
1505	7	0.9209302	9/95e0aba2.txt	https://onbeing.org/programs/living-islam
1252	7	0.9592652	4/4fddc347.txt	https://onbeing.org/programs/lisa-randall-dark-matter-and-the-astounding-interconnectedness-of-everything
1232	7	0.96672076	c/c5936d21.txt	https://onbeing.org/programs/louis-newman-the-refreshing-practice-of-repentance
1322	7	0.9546142	7/72a0cb18.txt	https://onbeing.org/programs/luke-timothy-johnson-and-bernadette-brooten-deciphering-the-da-vinci-code
1321	7	0.9318698	e/ed2e9876.txt	https://onbeing.org/programs/malka-haya-fenyvesi-and-aziza-hasan-curiosity-over-assumptions
1521	6	0.94017094	a/a7f7c445.txt	https://onbeing.org/programs/major-john-morris-the-soul-of-war
1248	7	0.94871795	d/d5ee9ec2.txt	https://onbeing.org/programs/lyndsey-stonebridge-thinking-and-friendship-in-dark-times-hannah-arendt-for-now-may2017
1202	6	0.9559068	6/644ce347.txt	https://onbeing.org/programs/mahzarin-banaji-the-mind-is-a-difference-seeking-machine
1338	7	0.9245142	9/9309cf5c.txt	https://onbeing.org/programs/manuel-vasquez-latino-migrations-and-the-changing-face-of-religion-in-the-americas
1165	7	0.9536481	2/24821bfc.txt	https://onbeing.org/programs/margaret-wertheim-the-grandeur-and-limits-of-science-feb2017
1362	7	0.9361234	b/b4f439de.txt	https://onbeing.org/programs/maria-popova-cartographer-of-meaning-in-a-digital-age-jan2017
1304	6	0.9539877	8/874a27f8.txt	https://onbeing.org/programs/mariane-pearl-a-spirit-of-defiance
1268	6	0.9676656	3/38ad96e1.txt	https://onbeing.org/programs/marie-howe-the-power-of-words-to-save-us-may2017
1176	6	0.95153064	f/fe094b82.txt	https://onbeing.org/programs/marilyn-nelson-communal-pondering-in-a-noisy-world-feb2017
1176	7	0.9710884	3/37911a4c.txt	https://onbeing.org/programs/marilynne-robinson-marcelo-gleiser-the-mystery-we-are
1519	7	0.95655036	8/84771d57.txt	https://onbeing.org/programs/mario-cuomo-and-mark-souder-faith-and-politics-in-america
1303	6	0.9493477	9/9c32c069.txt	https://onbeing.org/programs/maria-tatar-the-great-cauldron-of-story-why-fairy-tales-are-for-adults-again
1404	7	0.9408832	e/e332e1dc.txt	https://onbeing.org/programs/mark-hyman-james-gordon-penny-george-the-evolution-of-medicine
1330	7	0.9548872	1/1fcebbac.txt	https://onbeing.org/programs/martin-doblmeier-ethics-and-the-will-of-god-the-legacy-of-dietrich-bonhoeffer
1681	7	0.9286139	7/7e1a144d.txt	https://onbeing.org/programs/martin-marty-americas-changing-religious-landscape
968	7	0.9566116	e/ee36f893.txt	https://onbeing.org/programs/mario-livio-mysteries-of-an-expanding-universe
1392	7	0.95689654	f/f684d70f.txt	https://onbeing.org/programs/martin-rees-cosmic-origami-and-what-we-dont-know
1180	6	0.94661015	f/ff48f0a1.txt	https://onbeing.org/programs/mary-catherine-bateson-composing-a-life-aug2017
1273	6	0.93794185	c/cf844aea.txt	https://onbeing.org/programs/martin-sheen-spirituality-of-imagination-jun2017
